hashid,Székhely,Létszám,TEÁOR 08 szerinti teáorszám(ok),Nettó árbevétel (eFt),Üzleti/üzemi eredmény (eFt),Adózott eredmény (eFt),Forgóeszközök (eFt),Követelések (eFt),Pénzeszközök (eFt),Eszközök összesen (eFt),Saját tőke (eFt),Hosszú lejáratú kötelezettségek (eFt),Rövid lejáratú kötelezettségek (eFt),Cégcsoport tag
25f4c4c941,"2471 Baracska, Annamajor utca 40.",101.0,111,1801939.0,39576,33061,596278.0,180695.0,11065,1661317.0,953888,66905,451235.0,1
43bee5f8a6,"2336 Dunavarsány, 510-es Fő út 26.",39.0,4120|4511,3585687.0,82017,134302,878934.0,604205.0,268453,1646176.0,662231,22945,883645.0,0
3bb3008033,"4734 Szamosújlak, külterület  045.hrsz.",2.0,4631,1091845.0,4572,660,563364.0,288427.0,45913,580529.0,104023,17717,458789.0,0
6f1d93036e,"1133 Budapest, Váci út 76. 1. ép. 5. em",1.0,7711,3242505.0,481434,389619,3353702.0,3256441.0,44062,12158145.0,2955421,5649785,3529629.0,0
8c0cf95487,"1096 Budapest, Thaly K. u. 4-6.",95.0,2670,1159720.0,127240,132783,363512.0,153255.0,87729,1401525.0,933413,0,468112.0,0
869665265c,"9500 Celldömölk, Széchenyi u. 54.",279.0,2893,7424862.0,366067,281005,1977395.0,87834.0,138214,3599214.0,1634703,587401,757007.0,0
bc56c93238,"2049 Diósd, Balatoni út 10.",38.0,1623,1624240.0,91096,92992,411254.0,150999.0,36697,906249.0,280377,71356,552561.0,0
d52cb46f50,"1225 Budapest, Angeli út 68.",14.0,4673,1147093.0,122906,95798,497196.0,134129.0,34199,731139.0,569043,7959,140476.0,0
8b3107ae42,"1118 Budapest, Rétköz u. 5.",25.0,4643,2811500.0,267758,242929,829880.0,652805.0,292,835786.0,355526,0,389828.0,0
56f3b1bcfe,"1031 Budapest, Záhony utca 7. Hz. ép.",262.0,5911,3324010.0,683141,582039,1835366.0,1117223.0,718143,2155006.0,1122855,310584,623615.0,0
dd7f90f34b,"4900 Fehérgyarmat, Szatmári utca 21.",24.0,2813,1672190.0,250031,228291,1479675.0,262406.0,697748,2303246.0,1995243,0,45778.0,0
8100ad6aa0,"1147 Budapest, Thököly út 172.",0.0,6311,1214459.0,24790,24537,1073252.0,1042431.0,2768,1083242.0,33760,0,1049482.0,0
6b80ebf302,"2310 Szigetszentmiklós-Lakihegy, II. Rákóczi Ferenc út 20-22.",28.0,4639,2051399.0,124930,117816,655095.0,175703.0,340516,744159.0,568347,0,175795.0,0
3a3fae1d7d,"4405 Nyíregyháza, Lomb u. 16.",151.0,4321|4120,8551704.0,32760,24175,3965523.0,2500600.0,296315,4537578.0,1892505,213174,2403981.0,0
eeba37cbee,"5091 Tószeg, Parkoló tér 21.",142.0,2223,7725702.0,487432,392640,1598237.0,519745.0,73164,3724009.0,2378467,242400,1050164.0,0
cb915b2024,"1054 Budapest, Bajcsy-Zsilinszky út 42-46.",171.0,6419,5161000.0,1822000,1435000,80352000.0,-1000.0,3705000,211654000.0,19651000,110045000,81739000.0,0
93cc7be325,"2040 Budaörs, Széchenyi u. 39.",20.0,4120,1382580.0,99566,93752,436785.0,305189.0,131429,441560.0,246026,0,193779.0,0
37d63768ec,"2083 Solymár, Terstyánszky út 89.",365.0,2221,5668749.0,267220,233183,2105655.0,333254.0,802030,8509243.0,4632296,1551149,1608277.0,0
a40e549782,"2030 Érd, Szamos u. 10-12.",24.0,2120,1188703.0,389401,401737,829100.0,227410.0,303705,1230125.0,1034707,0,172655.0,0
438794b8dc,"1133 Budapest, Árboc u. 6.",38.0,6622,1262830.0,96355,87874,177510.0,102107.0,75403,425756.0,325743,0,81851.0,0
31f7c2cae2,"6300 Kalocsa, Ciglédi kertek",5.0,3831,1056919.0,33926,31007,87522.0,48376.0,3101,170166.0,98232,3000,68709.0,0
08c33ff0b6,"8000 Székesfehérvár, Vörösmarty tér 1.",39.0,0,2917894.0,230583,139365,723302.0,519090.0,186137,7508869.0,1636169,2995698,1633043.0,0
a3d49f4bd3,"2500 Esztergom, Schweidel J. u. 50.",88.0,2752,2280235.0,137703,58792,1149231.0,149613.0,80296,4866387.0,2798632,640439,948191.0,0
801da2dc92,"2092 Budakeszi, Gábor Áron u. 48/C.",74.0,6201,1570854.0,22121,6498,332715.0,319591.0,12517,487592.0,128126,0,208489.0,0
c47df61e41,"1038 Budapest, Kázmér u. 4/b.",22.0,4120,2398761.0,412200,386987,1053312.0,359632.0,533390,1110226.0,797782,130,303682.0,0
fa5639c8e8,"6000 Kecskemét, Matkói út 34/A",28.0,4617,4262082.0,338132,303368,1531419.0,493249.0,783589,1815808.0,1585366,0,219612.0,0
319bdadc9e,"4624 Tiszabezdéd, külterület 042/ /19. hr z.",10.0,111,1647504.0,129182,109206,1173586.0,1029899.0,112361,1569005.0,771588,366700,430717.0,0
bc79f638f8,"8900 Zalaegerszeg, Zrinyi u. 99.",91.0,4941,2672154.0,-266005,-246187,1260762.0,497008.0,403917,2490890.0,1569340,338240,572113.0,0
cecee2b05f,"7555 Csokonyavisonta, Xantus János u. 47",120.0,4941,3358816.19999999,49932.54,34425.54,254624.94,165924.9,66369.9599999999,1718795.88,200660.58,810705.96,698125.14,0
33e7c580b5,"2440 Százhalombatta, MOL Rt.1.sz telep 18. ép.",62.0,2561,2644602.0,181811,167748,1446509.0,1237323.0,108480,1662239.0,744519,18194,884726.0,0
6504eec9a8,"2040 Budaörs, Szabadság út 52.",11.0,6810,1613701.0,491744,446190,77697.0,52983.0,23183,7514407.0,5026661,1334268,1108608.0,0
101059d303,"1118 Budapest, Zólyomi út 23.",12.0,4741,1119463.0,75790,66931,452549.0,358604.0,87695,556966.0,233460,0,256459.0,0
b88fb4895f,"1123 Budapest, Alkotás u. 53. B. ép. III. em",93.0,7311,8654434.0,-38109,10843,5509165.0,5339099.0,168363,6758072.0,3596155,0,2752318.0,0
54372ff093,"2112 Veresegyház, Galagonya u. 28/F.",0.0,3312,7668000.0,865000,753000,8236000.0,201000.0,8035000,8973000.0,7914000,0,1059000.0,0
a9f490d6df,"5830 Battonya, Petőfi tér 2.",47.0,111,1222755.0,50186,49338,1021730.0,130024.0,681789,1465759.0,1412389,0,53217.0,0
1a0aac12dc,"8000 Székesfehérvár, Zsurló u. 8.",46.0,4674,2807664.0,176796,133949,1073678.0,605770.0,63101,1278333.0,956547,0,312222.0,0
28fb6d76f0,"5650 Mezőberény, Gyomai u. 97.",221.0,2822,3243947.0,523425,524266,1396250.0,163427.0,715600,2733760.0,1923965,201591,333421.0,0
18dec10606,"7100 Szekszárd, Keselyűsi út 15.",28.0,4399|0,1010832.0,83959,73516,360435.0,220361.0,14363,515914.0,248878,49475,217561.0,0
af90ea1323,"4220 Hajdúböszörmény, Külső Hadházi u. 10.",79.0,2120,1053235.44,176469.66,156620.699999999,545226.12,144835.38,163133.639999999,659667.78,495293.579999999,0,161272.8,0
e1aa72ccf1,"1013 Budapest, Krisztina krt. 32. IV. em.",50.0,7112,3184263.0,107864,72906,5308009.0,912948.0,4189510,7190680.0,166676,409157,6243066.0,0
2760df9ef2,"1031 Budapest  , Záhony u. 7.",1.0,6820,3294927.36,1522167.11999999,1355621.94,5018375.34,3703691.88,1314683.46,32227267.68,8076045.6,19936729.6199999,4214492.46,0
7ec5cb438b,"1037 Budapest, Laborc u. 26/b",89.0,1107,6579623.0,178099,-4813,1483086.0,683618.0,390090,5518831.0,580521,2601122,2007443.0,0
a677c28d7e,"1052 Budapest, Kristóf tér 2.",127.0,4771,4165204.0,573305,516364,867790.0,30801.0,599933,1580464.0,1066364,0,252414.0,0
fae78930ce,"8514 Mezőlak, Vasút u. 02/9.",3.0,4621,1405240.0,4735,2817,404751.0,217293.0,181679,434401.0,245014,11020,65423.0,0
ab6848445e,"1076 Budapest, Garay u. 45. 1. em. 120.",,8211,1235792.0,9261,8203,2179717.0,1423389.0,282227,2180539.0,32325,1518,2146696.0,0
8e87883e38,"3068 Mátraszőlős, Fő út 154",89.0,4634,6226880.0,533134,487102,1381660.0,259775.0,149370,1561848.0,1255635,0,294918.0,0
e0d77fc4ee,"1103 Budapest, Kőér utca 2/A C. ép.",0.0,4771,1731078.0,-305425,-318371,294654.0,151514.0,143140,294654.0,2874,0,290695.0,0
79e12e1148,"1036 Budapest, Perc u. 6.",13.0,6201,1083981.0,314183,283297,531750.0,240793.0,290957,1016722.0,396856,0,465005.0,0
7de3d8dd69,"5200 Törökszentmiklós, Bethlen Gábor u. 47.",46.0,1061,4200187.0,153721,155393,2074554.0,484331.0,44267,2414404.0,454562,0,1959842.0,0
e92c996c05,"2045 Törökbálint, Tópark u. 1/a.",82.0,4222,4228335.0,205460,192532,1326358.0,996501.0,3810,1573343.0,952591,0,531959.0,0
70338b1322,"7200 Dombóvár, Munkás tér 1.",312.0,2521,4577666.0,-401881,-445524,1421796.0,340401.0,5216,3747044.0,63360,837378,2477123.0,0
336267db57,"1117 Budapest, Gábor Dénes u. 2.  .",,6820,2076646.0,641532,580345,250500.0,250500.0,0,9635734.0,8591571,0,985881.0,0
49268f9c9c,"6000 Kecskemét, Belsőnyír 150.",298.0,2825,4239611.0,103982,80491,1223058.0,403973.0,11840,2617856.0,963517,721025,740191.0,0
d11950a27b,"5000 Szolnok, Gáz u. 1.",95.0,0,7598251.0,49875,36248,7297873.0,891391.0,5958521,7899556.0,1229577,0,6041815.0,0
ba1e2b50b1,"5650 Mezőberény, Hajnal utca 2-4.",124.0,2521,1789293.0,274350,256607,1066220.0,256270.0,33580,2034107.0,788661,231766,847933.0,0
3aadc066ad,"5085 Rákóczifalva, Petőfi Sándor u. 7.",16.0,4211,1318048.0,47887,44493,495045.0,392386.0,18447,573831.0,305868,0,260817.0,0
19c72069cb,"2051 Biatorbágy, Mandula utca 2.",0.0,4690|7022|4511,1324135.0,9651,2716,54265.0,54027.0,238,54265.0,11565,0,42700.0,0
ae7a8f58ec,"3530 Miskolc, Belterület 33831/58. hrsz",6.0,3530,1278119.0,364164,113732,520540.0,415522.0,105018,6671762.0,121316,2048308,692713.0,0
a407600edf,"1093 Budapest, Czuczor u. 2-10. VI. em.",156.0,7810,1820595.0,72400,61319,294181.0,183180.0,111001,401300.0,136208,0,206018.0,0
72e32412fd,"2120 Dunakeszi, Pallag u. 43.",11.0,4671,2375378.0,121686,105729,708828.0,331089.0,7818,719690.0,205324,18438,492318.0,0
d340360b01,"1135 Budapest, Szent László u. 95.",20.0,4652,1567251.0,63237,56099,600297.0,275559.0,264113,679766.0,171909,0,428162.0,0
9e037f66a4,"8002 Székesfehérvár, Bakony u. 4.",122.0,3101,1588547.0,49722,46463,924537.0,591699.0,101495,2261089.0,468195,681249,951699.0,0
1a1b250c25,"6050 Lajosmizse, Ceglédi út 36.",141.0,2222,8412459.0,545116,516712,3347387.0,2025125.0,92042,5723334.0,3439385,302717,1922820.0,0
cc04b11706,"3780 Edelény, külterület 017/12. hr",15.0,4511,1063250.0,41001,37809,414324.0,13784.0,5682,616850.0,288712,17002,300024.0,0
93f79c7564,"1134 Budapest, Kassák Lajos u. 19-25",373.0,6311,8892096.0,1134774,1124814,6068038.0,117518.0,5950520,7773213.0,6340759,0,408363.0,0
bc418d2194,"2621 Verőce, Árpád u. 44.",4.0,4621,2033261.0,105552,96161,483472.0,266242.0,187519,603426.0,489823,0,111313.0,0
cc92529f52,"1036 Budapest, Lajos utca 74-76. II. em.",47.0,7312,2704781.0,527900,475003,1560128.0,1484448.0,75680,1690481.0,1172668,35369,279016.0,0
5804027b7a,"1031 Budapest, Záhony u. 7.",49.0,7219,2426808.0,178735,171277,2182216.0,273637.0,1787546,2764715.0,2468967,0,218427.0,0
ca9bb42881,"9113 Koroncó, Sokorói u. 28",19.0,6820,1088981.0,174991,161574,670329.0,191967.0,27430,1564746.0,980511,192968,390667.0,0
afc595ca0b,"6224 Tabdi, Erdőalja dűlő 2",31.0,4631,1922696.0,99099,87702,333066.0,91709.0,215876,1262567.0,671403,136000,53700.0,0
945f4f1749,"8360 Keszthely, Fodor u. 12. III. em. 9.",0.0,4675,1430844.0,35123,17522,314912.0,130029.0,11832,345179.0,20893,0,316473.0,0
80f41335b8,"8400 Ajka, Gyár u. 35.",415.0,2932,5474173.0,215030,183527,1397029.0,765213.0,74834,2373891.0,797743,208888,1300178.0,0
e055ee8e10,"6800 Hódmezővásárhely, Erzsébeti út 7.",237.0,2341,2074271.0,-28787,-45920,1500781.0,742902.0,303822,2165312.0,680099,221150,1111400.0,0
ed9b66e4ff,"6000 Kecskemét, László Károly u. 16",27.0,4631,2818941.0,-51754,-65163,557335.0,278356.0,86324,1391779.0,641093,59047,691309.0,0
d6a45f6fa9,"2120 Dunakeszi, Sólyom u. 2",21.0,5629,6591143.0,103242,90354,639789.0,227402.0,408542,731426.0,108308,0,554911.0,0
0a9ea15978,"2363 Felsőpakony, Iparterület, Major út 2.",19.0,4222|4652,1280119.0,224003,210303,1618063.0,881743.0,89695,1816701.0,988653,64984,757936.0,0
8d4b9ea03b,"1139 Budapest, Váci út 95.",27.0,4645,2585672.0,144822,120933,1239370.0,728069.0,88158,1323509.0,374442,2210,885928.0,0
